Sec  SL  Slot  Cable  T0(BkgIntersect) T0err T0N p0  p1  p2  p3  p4(Bkg) xSigmHalf Err(p0  p1  p2  p3  p4)
2 3 5 4 1050.769 150092.128 1050.768 8.273 -0.0094 41.685 -0.0356 4.211 1169.906 2.020 9.138 677.129 1.073 0.078
2 3 5 5 723.789 6402.736 723.788 6.621 -0.0141 48.444 -0.0619 5.585 783.105 2.414 1.475 558.481 0.871 0.177
2 3 5 6 1291.251 1494789.090 1291.249 7.831 -0.0103 50.809 -0.0357 4.791 1423.848 1.900 73.512 1.414 73.509 0.181
2 3 6 1 984.614 89478.128 984.613 7.922 -0.0098 44.438 -0.0413 3.969 1076.551 1.732 8.967 806.290 1.271 0.086
2 3 6 2 793.720 26222.957 793.712 8.827 -0.0166 43.035 -0.0436 4.249 986.304 1.391 0.626 408.011 0.626 0.168
2 3 6 3 850.391 21691.839 850.387 6.754 -0.0138 41.351 -0.0417 3.910 991.877 2.009 0.950 48.377 0.064 0.036
2 3 6 4 928.697 22473.474 928.696 7.798 -0.0103 47.116 -0.0469 4.214 1004.528 1.768 3.240 206.688 0.312 0.054
2 3 6 5 796.275 15896.429 796.274 6.930 -0.0121 48.809 -0.0569 4.734 857.482 1.696 3.429 454.080 0.712 0.109
2 3 6 6 904.248 39231.823 904.246 7.309 -0.0111 47.418 -0.0483 3.697 980.797 2.095 5.569 550.471 0.835 0.074
2 3 7 1 838.120 94878.170 838.119 6.636 -0.0125 53.122 -0.0592 5.833 896.640 1.653 22.039 3512.716 5.738 0.105
2 3 7 2 825.097 10796.652 825.097 7.220 -0.0111 58.948 -0.0678 4.762 868.957 1.844 4.066 384.084 0.576 0.077
2 3 7 3 836.609 147302.523 836.606 6.662 -0.0140 45.541 -0.0489 5.033 932.242 2.194 13.799 2502.061 3.975 0.120
2 3 7 4 894.919 43802.768 894.918 7.056 -0.0115 47.532 -0.0489 4.437 971.835 1.298 6.167 513.745 0.788 0.067
2 3 7 5 969.154 63098.950 969.152 7.695 -0.0099 41.066 -0.0381 5.201 1079.142 1.897 4.494 389.843 0.594 0.080
2 3 7 6 960.888 77114.587 960.887 7.657 -0.0097 43.909 -0.0418 3.725 1049.951 1.887 8.217 773.124 1.214 0.079
2 4 1 1 813.842 5186.108 813.842 6.615 -0.0107 97.494 -0.1168 1.242 834.812 1.632 4.538 1728.520 2.316 0.124
2 4 1 2 787.660 336.969 787.660 6.674 -0.0106 94.153 -0.1164 1.487 808.683 2.365 0.301 124.850 0.163 0.118
2 4 1 3 845.111 18303.433 845.111 6.681 -0.0121 96.203 -0.1108 1.863 868.226 2.409 14.586 6232.700 8.268 0.103
2 4 1 4 821.114 279.674 821.114 7.323 -0.0103 85.479 -0.1010 2.205 845.965 1.619 0.214 96.829 0.126 0.134
